source,target,grade_source,grade_target,source_node,target_node,granger_causes,lag,p_value,adjusted_p_value,test_statistic,n_observations,r2_restricted,r2_augmented
101,103,low1,med2,M101_low1,M103_med2,True,4,0.022851958710319198,0.04760106116262716,2.846573804761897,1704,0.017761306965079715,0.02431554369670519
101,103,low2,med2,M101_low2,M103_med2,True,4,8.757151881422232e-08,4.4348145307752954e-07,9.734170699977417,1704,0.017761306965079715,0.0398181195372328
101,103,med1,med2,M101_med1,M103_med2,True,4,0.0066592626965373825,0.015575902578341674,3.5648787225037033,1704,0.017761306965079715,0.025955643253318117
101,103,med2,med2,M101_med2,M103_med2,False,4,0.4197893790276387,0.6436770478423793,0.9754006350483448,1704,0.017761306965079715,0.020017061491469645
102,103,low1,med2,M102_low1,M103_med2,True,4,4.358638433543671e-05,0.00015828739574448068,6.371126165166109,1704,0.017761306965079715,0.03231061937255786
102,103,low2,med2,M102_low2,M103_med2,True,4,0.0006786220869955395,0.0019309247011419473,4.855839260444371,1704,0.017761306965079715,0.02888946428789274
102,103,med1,med2,M102_med1,M103_med2,True,4,8.58202398035246e-13,6.767538910220797e-12,15.911081387641763,1704,0.017761306965079715,0.05330795971324531
102,103,med2,med2,M102_med2,M103_med2,True,4,2.4044068569484267e-07,1.1541152913352448e-06,9.190629003745714,1704,0.017761306965079715,0.0386126450378802
103,103,low1,med2,M103_low1,M103_med2,False,4,0.7815093715628598,0.9999999999922596,0.4376144176362786,1704,0.017761306965079715,0.018774636442467685
103,103,low2,med2,M103_low2,M103_med2,False,4,0.7448889525269751,0.9899800632485066,0.4875825765701257,1704,0.017761306965079715,0.01889020853445067
103,103,med1,med2,M103_med1,M103_med2,False,4,0.05645816752935939,0.11130324455787995,2.303069042300055,1704,0.017761306965079715,0.023070888541766754
104,103,low1,med2,M104_low1,M103_med2,True,4,9.056901262383121e-05,0.00031442827024122534,5.970080388317882,1704,0.017761306965079715,0.031407501838346286
104,103,low2,med2,M104_low2,M103_med2,True,4,0.0005762655765491065,0.0016830613664291364,4.946958681805919,1704,0.017761306965079715,0.02909587356675547
104,103,med1,med2,M104_med1,M103_med2,True,4,5.5844218138645374e-14,4.670607335232159e-13,17.37327720372795,1704,0.017761306965079715,0.05644596945329827
104,103,med2,med2,M104_med2,M103_med2,True,4,1.648449902025284e-06,7.164916109590211e-06,8.151736285310173,1704,0.017761306965079715,0.036300132170355215
105,103,low1,med2,M105_low1,M103_med2,True,4,0.0,0.0,27.673754350258008,1704,0.017761306965079715,0.07797575523550959
105,103,low2,med2,M105_low2,M103_med2,True,4,0.0,0.0,22.883714738607395,1704,0.017761306965079715,0.06808726605616289
105,103,med1,med2,M105_med1,M103_med2,True,4,0.0004569458235960111,0.0013634275385135035,5.076029728954338,1704,0.017761306965079715,0.029388103057485515
105,103,med2,med2,M105_med2,M103_med2,True,4,2.4316593633000316e-05,9.321360892650121e-05,6.69007826555392,1704,0.017761306965079715,0.03302766821642433
